user_name,text,hashtags,mentions
PepeRevueltas1,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
Mousstach,@samdebendern Medvedev will end his life in a Russian prison if he's not assassinated first. Whatever in this world… https://t.co/5rtThDSlpY,[],['samdebendern']
Tubabu63,"RT @Kiborgzzz: 27-FEB-2015  #BorisNemcov was killed in #Moscow just in front of #Putin’Z windows in #Kremlin.
He was real opposition to #Pu…","['BorisNemcov', 'Moscow', 'Putin', 'Kremlin']",['Kiborgzzz']
JkNermack,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
We_LoveRussia,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
Leylelele,"RT @duzdanisaq: 1/2 On anniversary of #UkraineRussiaWar  let's look at #Karabakh #Armenians, #Armenia, #Armenian diaspora. Post is from #Pu…","['UkraineRussiaWar', 'Karabakh', 'Armenians', 'Armenia', 'Armenian']",['duzdanisaq']
Bud_Del67,RT @BrunoBrozek: #Putin will not adhere to any negotiation results. Remember the negotiations with Chechnya. #Putin is the #Hitler of the 2…,"['Putin', 'Putin', 'Hitler']",['BrunoBrozek']
BobMitchell_,@JLaclaque It’s not me that talks about ‘no limits relationships’! #Putin #RussiaIsCollapsing https://t.co/L9Z3pYh9Dy,"['Putin', 'RussiaIsCollapsing']",['JLaclaque']
JustHisWords,RT @BHL: I am in #Kyiv. I just received this letter from @SaakashviliM. Poisoned by #Putin. Imprisoned by the henchmen of the #Kremlin in #…,"['Kyiv', 'Putin', 'Kremlin']","['BHL', 'SaakashviliM']"
meNabster,"RT @RussianEmbassy: President #Putin: Promises of Western leaders, their assurances that they were striving for peace in #Donbass turned ou…","['Putin', 'Donbass']",['RussianEmbassy']
mifi_https,"RT @TheStudyofWar: 3/ #Russia can mobilize more manpower, and #Putin will likely do so rather than give up. But the costs to Putin and Russ…","['Russia', 'Putin']",['TheStudyofWar']
SarahMc97267084,"RT @CBKNEWS121: #BILLGATES: The #Ukrainian government is one of the most #corrupt in the world

#Ukraine #Russian #UkraineRussianWar #putin…","['BILLGATES', 'Ukrainian', 'corrupt', 'Ukraine', 'Russian', 'UkraineRussianWar', 'putin']",['CBKNEWS121']
meNabster,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
revolutionairdj,"VIDEO 
At #UN security council..
#Russia stands up for both Ukrainian and Russian deceased. 

The #Satan-ic or… https://t.co/35yUzfZLAP","['UN', 'Russia', 'Satan']",[]
redallover99,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
LeonardNnaoma,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
JustHisWords,"RT @BHL: Première, in #Kyiv, of #SlavaUkraini, my film on the war in #Ukraine; in the trenches around #Kharkiv, #Bakhmut &amp; #Kherson; embedd…","['Kyiv', 'SlavaUkraini', 'Ukraine', 'Kharkiv', 'Bakhmut', 'Kherson']",['BHL']
naturalwaterman,RT @TibetPeople: #Putin is using Russian ethnic Tuva &amp; Buryatia to send in #Ukraine as #CannonFodder &amp; #US actor #StevenSeagal is a womaniz…,"['Putin', 'Ukraine', 'CannonFodder', 'US', 'StevenSeagal']",['TibetPeople']
gm_mhlongo,RT @EmbassyofRussia: President #Putin: West seeks unlimited power. It spent over $150 billion on helping &amp; arming Kiev regime. According to…,['Putin'],['EmbassyofRussia']
Desk999123,"RT @mfa_russia: 🇷🇺🇹🇷📞 President #Putin congratulated President @RTErdogan on his birthday, noting his great personal contribution to the de…",['Putin'],"['mfa_russia', 'RTErdogan']"
raging545,Ukrainian troops captured a Russian position eliminating and capturing several soldiers. The Russians tried to reca… https://t.co/PAj8olYEoq,[],[]
Desk999123,"RT @mfa_russia: 💬 President #Putin: They [the West] have one goal – to hollow out the former USSR and its main part, Russia.

When this is…",['Putin'],['mfa_russia']
berkafka,"RT @BHL: Thanks, Minister #Reznikov. Humbled by your words. You embody the resistance of #Ukraine against #Putin’s fascism. This film is yo…","['Reznikov', 'Ukraine', 'Putin']",['BHL']
T4839155Tommaso,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
janet24627436,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
mafiwa2,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
reverend_weed,"God be with you, young lady. #Russia and #Putin will burn in hell for eternity while you live in paradise. Anyone s… https://t.co/bWK7uajoLn","['Russia', 'Putin']",[]
GVWire,"🙄 Putin Bestows Hollywood Action Star With Russian Friendship Award

#GVWire #News #Politics #Entertainment… https://t.co/syX5OFXWLy","['GVWire', 'News', 'Politics', 'Entertainment']",[]
onwudiwe98,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
Mikosoph,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
haykaph,"RT @robananyan: Today, Sergey Lavrov visited #Russia's faithful ally #Azerbaijan. #Putin really supported #Aliyev in arming the army and wi…","['Russia', 'Azerbaijan', 'Putin', 'Aliyev']",['robananyan']
drchrisnewton,"RT @TheStudyofWar: A key takeaway from this 🧵:

The specter of limitless #Russian manpower is a myth. #Putin has already been forced to mak…","['Russian', 'Putin']",['TheStudyofWar']
Lorenzxo2,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
satscryptKMcG,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
RRRoberto68,"#Putin #Russia #Ukraine 

Russia stares into a ""population abyss"" as Putin sends its young men to die.

@Castbox_fm… https://t.co/RbHLcvwcI7","['Putin', 'Russia', 'Ukraine']",['Castbox_fm']
GailAnd030844,"RT @LewMan90: George Soros is past his prime… link to full video- https://t.co/kHwToSsPMm
#trending #PaulFury #PokemonDay #Pokemon #news #p…","['trending', 'PaulFury', 'PokemonDay', 'Pokemon', 'news']",['LewMan90']
aroguewave,"@CNN There’s DEFINITELY a Steven Seagal movie in there somewhere for this.
Maybe he’s the key to stopping the war i… https://t.co/0wfNiyuX5V",[],['CNN']
Isabeth_98,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
lana_my,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
Ken4916,"RT @Capt_Tukali: Biological &amp; bacteriological weapons tests on US territory prohibited by US Congress

US military still carrying out biolo…",[],['Capt_Tukali']
Benzyne,"🔴🔥🔥President Vladimir #Putin awarded actor #stevenseagal the Order of Friendship 🫶

#Russia https://t.co/IVGNDj7ahA","['Putin', 'stevenseagal', 'Russia']",[]
GozeyYasir,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
The14thFamily,RT @RussianEmbassy: President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no division…,"['Putin', 'Russia']",['RussianEmbassy']
marcomout,"#OTD in 2015 #putin's maffiosi killed #BorisNemtsov, considered his biggest and most eminent enemy. 

On This Day w… https://t.co/Dn0boDBZaO","['OTD', 'putin', 'BorisNemtsov']",[]
GrantParker88,RT @Shilpaa30thakur: Russian President Vladimir Putin and Chinese President Xi Jinping are making pancakes. #Putin #XiJinping https://t.co/…,"['Putin', 'XiJinping']",['Shilpaa30thakur']
wolfeyes007,"RT @WinRussiawill: The perfect training buddy, this is how we mentally prepare for a fight 🐻😂

Would you dare to train with a Russian bear?…",[],['WinRussiawill']
iryna8700,@medeabenjamin Maybe you should write #RussiaIsATerroristState #russia ‘Get Out of Ukraine’ on your piece of paper… https://t.co/rXAlxkwdHI,"['RussiaIsATerroristState', 'russia']",['medeabenjamin']
RussianEmbassy,President #Putin: #Russia firmly defends its interests and the belief that in today’s world there should be no divi… https://t.co/IT5f5zyUNm,"['Putin', 'Russia']",[]
Raphael57789689,RT @ChinasaNworu: President #Putin: West’s appalling method of deception has been tried and tested many times before. They behaved just as…,['Putin'],['ChinasaNworu']
Hollypongi,"RT @Ewe_Paz_HeT: Strategically, Russia is shit.
#Ukraine #Putin","['Ukraine', 'Putin']",['Ewe_Paz_HeT']
jrcostumero,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
alenikkooo,"RT @robananyan: Today, Sergey Lavrov visited #Russia's faithful ally #Azerbaijan. #Putin really supported #Aliyev in arming the army and wi…","['Russia', 'Azerbaijan', 'Putin', 'Aliyev']",['robananyan']
BoisePicard50,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
Ewe_Paz_HeT,"Strategically, Russia is shit.
#Ukraine #Putin https://t.co/8jCOjp5Nt5","['Ukraine', 'Putin']",[]
JohnMil48810492,"RT @azexl2: Time to listen to #lucasCage an #Iraq war #US veteran, again, while 100s of #Ukrainian troops are slaughtered by #RussianArmy i…","['lucasCage', 'Iraq', 'US', 'Ukrainian', 'RussianArmy']",['azexl2']
hvroth,RT @RussianEmbassy: President #Putin: Those who plotted a new attack against #Donetsk and #Lugansk in #Donbass region understood that #Crim…,"['Putin', 'Donetsk', 'Lugansk', 'Donbass']",['RussianEmbassy']
PacoGalaz,RT @WinRussiawill: China joining Russia in the conflict in Ukraine is guaranteed a loss for NATO.  NATO warmongers are running around like…,[],['WinRussiawill']
knowyourbrain20,"RT @robananyan: Today, Sergey Lavrov visited #Russia's faithful ally #Azerbaijan. #Putin really supported #Aliyev in arming the army and wi…","['Russia', 'Azerbaijan', 'Putin', 'Aliyev']",['robananyan']
kevindilworth12,@uarealitynow Seems like a nice boy lol 😂 #Solovyov #Russians #RussianSoldier #Ukraine #Putin #Moscow #Lavrov… https://t.co/nONmQqXij7,"['Solovyov', 'Russians', 'RussianSoldier', 'Ukraine', 'Putin', 'Moscow', 'Lavrov']",['uarealitynow']
momatlrg,"RT @CupofJoeintheD2: Hey #GOP, the World wants to charge #Putin &amp; #Russia with War Crimes yet You continue to Worship them, Why Why Why??!!!","['GOP', 'Putin', 'Russia']",['CupofJoeintheD2']
odisseoisback,"Book now your next #Greek #holidays 
#flights to #Corfu start from April 2023
The next Greek #Easter is on April 16… https://t.co/xS9vkVY07J","['Greek', 'holidays', 'flights', 'Corfu', 'Easter']",[]
Meme4Ukraine,"Windows are very dangerous in #Russia. Better stay clear of them.
🇺🇦❤️  #UkraineRussiaWar #Putin https://t.co/0jilxhNWNu","['Russia', 'UkraineRussiaWar', 'Putin']",[]
AnttiSarkka,RT @RussianEmbassy: President #Putin: Those who plotted a new attack against #Donetsk and #Lugansk in #Donbass region understood that #Crim…,"['Putin', 'Donetsk', 'Lugansk', 'Donbass']",['RussianEmbassy']
soltysik_rob,"RT @RussianEmbassy: President #Putin: Promises of Western leaders, their assurances that they were striving for peace in #Donbass turned ou…","['Putin', 'Donbass']",['RussianEmbassy']
Bashir161953012,RT @EmbassyofRussia: 🇷🇺President #Putin: US &amp; NATO quickly deployed their army bases &amp; secret biolaboratories near Russian borders. They ma…,['Putin'],['EmbassyofRussia']
CaptFreneyNAFO,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
txvqazgvi,#azerbaijan and #russia are allies. Sanction azerbaijan!!! #putin #aliyev #ukraine https://t.co/dgRZb4Bak5,"['azerbaijan', 'russia', 'putin', 'aliyev', 'ukraine']",[]
NatureVibes666,"RT @EmbassyofRussia: 🇷🇺President Vladimir #Putin: According to US experts, almost 900,000 people were killed during wars unleashed by the U…",['Putin'],['EmbassyofRussia']
EatenAbgousht,"RT @robananyan: Today, Sergey Lavrov visited #Russia's faithful ally #Azerbaijan. #Putin really supported #Aliyev in arming the army and wi…","['Russia', 'Azerbaijan', 'Putin', 'Aliyev']",['robananyan']
DougieJones101,RT @RussianEmbassy: President #Putin: West’s appalling method of deception has been tried and tested many times before. They behaved just a…,['Putin'],['RussianEmbassy']
CarolineBajada,"RT @BHL: Première, in #Kyiv, of #SlavaUkraini, my film on the war in #Ukraine; in the trenches around #Kharkiv, #Bakhmut &amp; #Kherson; embedd…","['Kyiv', 'SlavaUkraini', 'Ukraine', 'Kharkiv', 'Bakhmut', 'Kherson']",['BHL']
Silvia00072,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
grannylater,"RT @Beefeater_Fella: For a country 100 times larger that Ukraine, this is a pathetic show by any account. Russia have fallen from #SuperPow…",[],['Beefeater_Fella']
OW94537118,"RT @ArthurM40330824: #Putin on his reasons for exiting START
Basically if US/NATO is acting as our enemy and indirectly involved in a war a…",['Putin'],['ArthurM40330824']
ShallBeFree7591,"RT @azexl2: Time to listen to #lucasCage an #Iraq war #US veteran, again, while 100s of #Ukrainian troops are slaughtered by #RussianArmy i…","['lucasCage', 'Iraq', 'US', 'Ukrainian', 'RussianArmy']",['azexl2']
MysterySciFi,"RT @azexl2: Time to listen to #lucasCage an #Iraq war #US veteran, again, while 100s of #Ukrainian troops are slaughtered by #RussianArmy i…","['lucasCage', 'Iraq', 'US', 'Ukrainian', 'RussianArmy']",['azexl2']
GaryCrazyg,"RT @ArthurM40330824: #Putin on his reasons for exiting START
Basically if US/NATO is acting as our enemy and indirectly involved in a war a…",['Putin'],['ArthurM40330824']
stancity44,President #Putin: West’s appalling method of deception has been tried and tested many times before. They behaved ju… https://t.co/rvYHtN45UK,['Putin'],[]
cheguwera,"These 3 American men have invaded 9 countries in 23 years, killed 11 million civilians and no one calls them 'war c… https://t.co/2b5FLw5n1g",[],[]
pierrelepigeon1,RT @kiraincongress: russia’s suspension of the #nuclear pact is just another proof: #putin would does not need a reason to pull of a deal h…,"['nuclear', 'putin']",['kiraincongress']
MysterySciFi,RT @WinRussiawill: China joining Russia in the conflict in Ukraine is guaranteed a loss for NATO.  NATO warmongers are running around like…,[],['WinRussiawill']
moveebuff1953,I never did …#Putin is ex #KGB and #russia’s barbaric history should have been a huge red flag for the rest of the… https://t.co/WffBU8iSpV,"['Putin', 'KGB', 'russia']",[]
DanceTonymor,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
arnoldbm,A year ago I created an NFT that captured headlines related to the Russian invasion. Someone else might want a piec… https://t.co/EtysZs9h6d,[],[]
han_sologuy,"RT @Beefeater_Fella: For a country 100 times larger that Ukraine, this is a pathetic show by any account. Russia have fallen from #SuperPow…",[],['Beefeater_Fella']
FikraForum,"New on Fikra Forum:
""#Putin’s Position in MENA and the Turkish Elections""
By @BaraaSabri2 https://t.co/MQ3ohs7QBT",['Putin'],['BaraaSabri2']
AstridfromVan,"RT @robananyan: Today, Sergey Lavrov visited #Russia's faithful ally #Azerbaijan. #Putin really supported #Aliyev in arming the army and wi…","['Russia', 'Azerbaijan', 'Putin', 'Aliyev']",['robananyan']
statecraftdaily,The #G20 failed to issue a joint statement due to differences over addressing the #Russia-#Ukraine war. Learn more:… https://t.co/zFUNDd3Aox,"['G20', 'Russia', 'Ukraine']",[]
gwirionedd2,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
friendofrussia,RT @RussianEmbassy: President #Putin: Those who plotted a new attack against #Donetsk and #Lugansk in #Donbass region understood that #Crim…,"['Putin', 'Donetsk', 'Lugansk', 'Donbass']",['RussianEmbassy']
rcavivar,RT @EmbassyofRussia: 🇷🇺President #Putin: US &amp; NATO quickly deployed their army bases &amp; secret biolaboratories near Russian borders. They ma…,['Putin'],['EmbassyofRussia']
JohnSmi91244570,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
josephletsholo1,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
_hlmendez420,"RT @HudsonInstitute: Hudson's @ArthurLHerman explains that a long war favors #Putin and #China, not the West, #Ukraine, or the future of #R…","['Putin', 'China', 'Ukraine']","['HudsonInstitute', 'ArthurLHerman']"
TederValeria,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
LeifSiv_Falk,"RT @MaimunkaNews: ‼️🇷🇺President #Putin To Award Steven Seagal The ‘Order Of Friendship’ 

The film star will receive the order for his cont…",['Putin'],['MaimunkaNews']
206JohnSmith,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
MattUkraineFeed,"RT @WarFrontline: 🚨#Breaking 🇵🇱will give Ukraine another 10 Leopard 2 tanks, as well as 60 upgraded PT-91 and T-72 tanks.

This was stated…",['Breaking'],['WarFrontline']
STFUtacticats,"RT @BHL: Thanks @AzovstalFam &amp; @KatProkopenkoUa .
Your husbands, sons and brothers are heroes. They defended #Azovstal, saved  #Ukraine and…","['Azovstal', 'Ukraine']","['BHL', 'AzovstalFam', 'KatProkopenkoUa']"
cocoz62277008,"RT @IsaCNN: Fmr 🌍 chess champion @Kasparov63 tells me “Putin hopes to out-suffer #Ukraine” but “this is not a Ukrainian war, this is our wa…",['Ukraine'],"['IsaCNN', 'Kasparov63']"
VR_796,"🇺🇲🇺🇦 "" We all know the truth "": The US Consulate in Milan published a picture with the flag of Ukraine, behind whic… https://t.co/RZDEdraIVt",[],[]
parus_che,"RT @RussianEmbassy: President #Putin: Promises of Western leaders, their assurances that they were striving for peace in #Donbass turned ou…","['Putin', 'Donbass']",['RussianEmbassy']
Bobbio65M,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
parus_che,"RT @RussianEmbassy: President #Putin: #Russia was doing everything possible to solve the Ukrainian crisis by peaceful means, patiently cond…","['Putin', 'Russia']",['RussianEmbassy']
mahlobo93,"RT @EmbassyofRussia: 🇷🇺President Vladimir #Putin: According to US experts, almost 900,000 people were killed during wars unleashed by the U…",['Putin'],['EmbassyofRussia']
Mousstach,@mfa_russia @MedvedevRussiaE @RusEmbUSA @NATO @RusBotschaft @OSCE @RusMission_EU @mission_russian @RussiaUN… https://t.co/jZ69mBCMWf,[],"['mfa_russia', 'MedvedevRussiaE', 'RusEmbUSA', 'NATO', 'RusBotschaft', 'OSCE', 'RusMission_EU', 'mission_russian', 'RussiaUN']"
